Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Casey Mize","DET",6.8616,8.6505,9.0341,4.62575,22.68,22.68,0,0,126.533,549.19,133.717,69.862,65.0346,18.1505,37.9578,,7.1038,102.531,7.29273,2.69984,2.70117,1.291,0.186694,0.069116,0.11757806688547134,0.265245,1.35676,0.301389,0.69609,0.432117,,4.56758,1.17021,1.13848,411.8299865722656,,,,"20492"
"Ryan Feltner","COL",5.9635,9.259,6.1261,5.42622,22.68,22.68,0,0,120.93,536.988,131.084,77.4116,72.9102,20.7865,51.908,,5.2512,103.781,7.72373,3.86317,1.99933,1.547,0.193265,0.0966651,0.09659992903470993,0.27319,1.51321,0.310469,0.686073,0.408959,,5.1912,1.15677,1.3129,740.9600219726562,,,,"21446"
"John Means","BAL",7.885,8.5122,9.643,4.49397,30.68,22.68,0,0.6196,136.739,584.375,140.896,72.7792,68.278,23.6103,32.6999,,5.9992,109.65,7.21704,2.15227,3.35323,1.554,0.187637,0.055957,0.13167983293533325,0.258205,1.26954,0.284389,0.717346,0.344966,,4.74496,1.10767,1.15892,373.7300109863281,,,,"16269"
"David Peterson","NYM",5.6215,4.6552,5.1458,3.49615,39.34,11.34,0,0.6257,88.0453,375.454,78.792,37.6546,34.2022,9.36215,35.1807,,4.1818,93.2447,9.53148,3.59617,2.65045,0.957,0.248352,0.0937018,0.15465009212493896,0.234436,1.29448,0.297364,0.756631,0.501196,,3.86048,1.10612,1.35603,718.5599975585938,,,,"20302"
"Pete Fairbanks","TBR",3.7463,2.7204,0,2.99247,66,0,29.798,3.3053,66,270.603,48.6402,23.9916,21.9448,6.05733,25.5303,,2.7978,89.4829,12.2022,3.4814,3.50497,0.826,0.33068,0.094346,0.2363336905837059,0.200765,1.1238,0.290203,0.763872,0.43735,,3.02419,1.09372,1.04555,86.79000091552734,,,,"17998"
"Jhoan Duran","MIN",3.2635,2.1239,0,2.61434,55,0,24.694,2.6633,55,224.033,40.4581,17.849,15.9765,3.64833,20.799,,2.4753,75.9076,12.4212,3.40347,3.64958,0.597,0.338823,0.092839,0.2459842935204506,0.201526,1.11377,0.303704,0.773082,0.526263,,2.6266,1.09262,1.15696,67.41000366210938,,,,"21029"
"Josiah Gray","WSN",7.9896,13.4488,11.0676,5.23611,30.78,30.78,0,0,177.095,786.74,178.71,109.162,103.032,32.192,80.6778,,8.4944,160.781,8.17089,4.10006,1.99287,1.636,0.204363,0.102547,0.10181597620248795,0.25619,1.46468,0.290367,0.700943,0.357072,,5.31298,1.08453,0.905516,383.6400146484375,,,,"24580"
"Tyler Anderson","LAA",8.8925,11.2708,11.1345,4.96492,29.16,29.16,0,0,166.418,729.904,175.447,97.5801,91.8059,28.7903,59.8529,,7.156,129.603,7.00903,3.23688,2.16536,1.557,0.177562,0.0820011,0.09556105732917786,0.264668,1.41391,0.290697,0.70628,0.353435,,5.15444,1.07438,1.18654,578.0700073242188,,,,"12880"
"Ross Stripling","OAK",7.1037,9.2539,8.5157,4.39581,34.68,22.68,0,0.5755,132.711,565.473,138.207,69.759,64.8191,19.8329,34.598,,4.3371,102.955,6.98203,2.34632,2.97574,1.345,0.182068,0.0611842,0.12088409811258316,0.262482,1.30211,0.293185,0.710471,0.421232,,4.5264,1.06144,1.1522,548.8699951171875,,,,"13273"
"Jake Irvin","WSN",6.0976,9.2822,7.6582,4.99134,22.68,22.68,0,0,123.68,544.845,129.374,73.2643,68.5919,19.5002,48.8982,,6.8558,99.7932,7.26181,3.55825,2.04084,1.419,0.183159,0.089747,0.0934118926525116,0.264519,1.4414,0.297119,0.695546,0.413339,,5.04335,1.05561,0.958347,622.6699829101562,,,,"21504"
"José Alvarado","PHI",3.6908,2.6779,0,3.03692,65,0,21.905,5.5782,65,271.626,49.0069,24.2201,21.9333,5.59,31.3657,,3.0971,84.8474,11.7481,4.34294,2.7051,0.774,0.312368,0.115474,0.19689460843801498,0.206638,1.2365,0.295905,0.77402,0.493593,,3.35294,1.00183,1.23908,158.8000030517578,,,,"17780"
"Aroldis Chapman","PIT",3.63,2.6408,0,2.94011,64,0,4.614,11.3942,64,267.447,42.7347,22.9113,20.9074,5.47556,35.5108,,2.5124,94.2517,13.2541,4.99371,2.65417,0.77,0.352413,0.132777,0.21963568031787872,0.18627,1.22259,0.287279,0.783996,0.418381,,3.20423,0.997446,1.2546,346.42999267578125,,,,"10233"
"Quinn Priester","PIT",5.4197,6.2146,5.9757,4.41599,31.58,14.58,0,0.6116,98.405,429.596,100.672,52.4772,48.2839,11.2291,40.6857,,4.7384,77.9215,7.1266,3.72106,1.91521,1.027,0.181383,0.0947069,0.08667632192373276,0.262049,1.43649,0.303174,0.707439,0.507167,,4.53961,0.992798,1.05967,711.1699829101562,,,,"25977"
"Austin Gomber","COL",6.8725,11.922,7.4388,5.68865,27.54,27.54,0,0,151.734,676.779,181.414,101.777,95.9068,28.526,51.3358,,5.3567,104.708,6.21068,3.04495,2.03967,1.692,0.154715,0.0758531,0.07886193692684174,0.292562,1.53393,0.314033,0.679271,0.414544,,5.43978,0.988055,1.19785,733.7899780273438,,,,"16561"
"Kyle Freeland","COL",7.1277,13.318,8.9827,5.80109,29.16,29.16,0,0,169.68,760.898,209.015,116.018,109.37,31.9941,51.6604,,7.6706,111.053,5.89036,2.74012,2.14967,1.697,0.14595,0.067894,0.07805592566728592,0.297926,1.53627,0.316946,0.670072,0.416542,,5.44629,0.981687,1.17994,654.3900146484375,,,,"16256"
"Lance McCullers Jr.","HOU",5.3813,4.498,5.3288,4.04102,32.34,11.34,0,0.652,86.0196,368.186,81.7815,41.9809,38.623,10.1694,33.1176,,4.3174,84.3309,8.82332,3.46501,2.54641,1.064,0.229044,0.089948,0.13909627497196198,0.24726,1.33573,0.303119,0.724387,0.48761,,4.13677,0.972364,1.05163,688.9099731445312,,,,"14120"
"Jacob deGrom","TEX",2.1352,1.1834,2.9627,2.84595,4.86,4.86,0,0,27.5772,109.651,20.6737,9.4749,8.72038,3.10703,6.0066,,0.8128,38.65,12.6137,1.96029,6.43459,1.014,0.352482,0.0547793,0.29770273715257645,0.201044,0.967477,0.287627,0.77049,0.395037,,2.65852,0.957182,0.960754,423.6499938964844,,,,"10954"
