Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"JP Sears","OAK",7.77799,10.4438,9.11929,4.33004,27.6608,27.6608,0,0,157.825,662.974,147.671,82.5347,75.9319,25.0541,48.495,2.23054,9.11661,144.069,8.21559,2.76544,2.9708,1.42872,0.217307,0.0731476,0.14415965229272842,0.243939,1.24294,0.281078,0.705389,,,4.58817,1.38506,1.44225,361.7099914550781,3.92782,0.502558,0.999205,"23429"
"Andrew Heaney","TEX",7.22289,6.80924,7.25928,4.38117,27.7454,22.4784,0,0.376204,120.679,514.098,114.218,63.8543,58.7459,19.7586,42.5883,0.433728,7.32398,127.067,9.47646,3.17616,2.98362,1.47356,0.247165,0.0828407,0.16432452201843262,0.246062,1.29938,0.297642,0.719754,,,4.51843,1.36625,1.44646,373.6700134277344,2.45552,0.0627454,0.815672,"15423"
"Dean Kremer","BAL",8.98277,7.95924,9.83515,4.32786,26.9403,26.9403,0,0,152.525,647.341,150.619,79.723,73.3451,22.7103,48.8158,0.51989,5.58439,131.433,7.75546,2.88046,2.69244,1.34006,0.203036,0.0754097,0.12762603163719177,0.25402,1.30755,0.291498,0.714098,,,4.53724,1.32975,1.62878,313.70001220703125,4.41358,-0.445219,1.18476,"19350"
"Jared Jones","PIT",5.6659,7.35957,5.3534,4.7076,23.7741,20.7021,0,0.227163,109.312,473.41,105.995,62.1495,57.1775,14.0729,44.2804,1.03153,6.129,99.6104,8.20122,3.64574,2.24954,1.15866,0.210411,0.0935351,0.11687545478343964,0.250578,1.37473,0.297176,0.674914,,,4.48962,1.26209,0.969675,999,2.45027,-0.548582,0.987628,"27863"
"Kyle Freeland","COL",7.0066,11.0931,9.35173,5.3933,27.4954,27.4954,0,0,157.404,694.308,184.985,102.527,94.3253,26.5715,46.5551,0.733971,6.29694,102.918,5.88461,2.66191,2.21067,1.5193,0.148231,0.0670524,0.08117837458848953,0.288382,1.47099,0.309421,0.66385,,,5.14921,1.25234,1.31443,654.3900146484375,6.92155,0.188773,3.01339,"16256"
"Paul Blackburn","OAK",6.33485,8.24477,7.2058,4.50344,23.8297,23.8297,0,0,130.371,562.406,134.553,70.9078,65.2352,16.3106,44.6692,1.3418,5.1095,108.31,7.47709,3.08369,2.42472,1.12599,0.192584,0.0794251,0.11315858364105225,0.262477,1.37471,0.304743,0.692603,,,4.36536,1.23616,0.911621,545.75,5.13176,-0.406811,1.15493,"14739"
"Paul Skenes","PIT",2.81601,3.18929,1.67357,4.17316,11.6497,11.6497,0,0,60.5041,251.533,54.5283,30.4943,28.0548,6.42235,21.5428,0,0,59.2623,8.81528,3.2045,2.75091,0.955326,0.235605,0.085646,0.1499585211277008,0.23709,1.25729,0.292784,0.679441,,,3.74417,1.23457,1.02011,294.7200012207031,8.67761,0.570276,0.515966,"sa3023079"
"Chase Silseth","LAA",7.22226,7.20106,6.90357,4.36293,26.7603,22.8546,0,0.237457,121.603,520.802,112.391,64.0754,58.9494,17.4875,51.1678,0.476859,5.14886,119.849,8.87023,3.78701,2.34228,1.29428,0.230125,0.0982481,0.13187649101018906,0.241969,1.34503,0.290093,0.715315,,,4.54275,1.22987,1.50224,352.2300109863281,2.51121,0.314293,0.950176,"30074"
"Adrian Houser","NYM",6.98869,7.43352,6.01022,4.51158,24.117,22.2844,0,0.164552,119.622,517.805,121.944,65.1794,59.9651,14.7123,44.7428,1.13713,4.21347,89.3503,6.72243,3.3663,1.99698,1.1069,0.172556,0.0864087,0.08614730834960938,0.260092,1.39344,0.293957,0.694829,,,4.5878,1.18503,1.24842,532.5999755859375,2.75868,0.216481,1.12145,"12718"
"Jordan Wicks","CHC",6.81087,6.31786,7.46845,4.3903,24.6901,22.1108,0,0.229961,115.216,489.421,113.119,61.0911,56.2038,16.0839,38.5467,0.673345,3.62775,96.9251,7.57119,3.01103,2.51448,1.25637,0.198041,0.0787599,0.1192806288599968,0.252922,1.31635,0.290317,0.701321,,,4.48545,1.17437,1.3137,436.7900085449219,2.1327,1.15586,0.657034,"30094"
"Austin Gomber","COL",7.29583,10.1114,8.59293,5.46999,27.1231,26.2353,0,0,139.093,612.961,161.057,91.8889,84.5378,24.0801,44.4,1.7024,4.13248,96.6416,6.25316,2.87289,2.17661,1.55809,0.157664,0.0724354,0.08522819727659225,0.285346,1.47712,0.308711,0.661261,,,5.16279,1.171,1.08465,733.7899780273438,6.52723,-0.417161,2.74516,"16561"
"Max Meyer","MIA",4.96952,6.01578,5.99302,4.36745,21.2484,16.9869,0,0.234034,90.9024,386.556,85.7256,47.9483,44.1124,11.5647,33.8324,0.686508,3.38067,84.0358,8.32015,3.34965,2.48388,1.14498,0.217396,0.0875227,0.129873588681221,0.245391,1.31523,0.292269,0.692768,,,4.28811,1.16637,1.11293,400.79998779296875,2.68372,-1.58504,0.232788,"27474"
