Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Jake Irvin","WSN",4,5,,4.87824,23,23,0,0,111,484,109,65,60,17,45,,9,93,7.56481,3.67636,2.05769,1.34328,0.192793,0.0936937,0.09909909218549728,0.25355,1.39042,0.288828,0.678191,,,4.97539,0.912492,0.779531,622.6699829101562,,,,"21504"
"Ryan Helsley","STL",6,5,,3.46154,65,0,30,4,65,264,51,28,25,9,26,,0,78,10.7308,3.63462,2.95238,1.21154,0.293839,0.0995261,0.19431278854608536,0.215789,1.19231,0.280992,0.766284,,,3.83196,0.904903,1.09824,92.54000091552734,,,,"18138"
"Marco Gonzales","PIT",6,12,,4.70085,24,24,0,0,135,581,145,75,70,20,41,,4,87,5.81197,2.73504,2.125,1.36752,0.14978,0.0704846,0.07929515093564987,0.26969,1.37702,0.289552,0.701468,,,4.93595,0.90208,1.41055,634.219970703125,,,,"15467"
"Alexis Díaz","CIN",7,6,,3.89552,68,0,31,3,68,277,48,31,29,8,32,,7,81,10.7463,4.29851,2.5,1.07463,0.29304,0.117216,0.17582418769598007,0.200855,1.1791,0.267123,0.707965,,,4.16549,0.897644,1.23047,77.36000061035156,,,,"21132"
"Aroldis Chapman","PIT",5,5,,3.6961,64,0,5,11,64,273,49,29,26,9,35,,1,100,14.0452,4.98973,2.81481,1.29363,0.365385,0.129808,0.23557692766189575,0.205556,1.31417,0.309278,0.774908,,,3.72732,0.896648,0.95693,346.42999267578125,,,,"10233"
"Mike Clevinger","CHW",4,6,,4.54928,15,15,0,0,75,321,74,41,38,11,25,,4,66,7.88543,2.95703,2.66667,1.36479,0.205128,0.0769231,0.12820512056350708,0.253796,1.31424,0.292035,0.695719,,,4.63667,0.891113,0.756909,487.25,,,,"12808"
"Anthony DeSclafani","MIN",5,7,,4.56177,30,16,0,1,103,440,107,57,52,15,31,,2,83,7.22281,2.66103,2.71429,1.33052,0.188586,0.0694789,0.1191067025065422,0.262735,1.33052,0.29682,0.695489,,,4.5222,0.881835,0.727531,655.719970703125,,,,"13050"
"Bryan Abreu","HOU",3,2,,3.23838,67,0,2,16,67,282,48,26,24,7,33,,4,94,12.6837,4.45277,2.84848,0.944528,0.33452,0.117438,0.21708185225725174,0.196721,1.21439,0.286713,0.772472,,,3.46494,0.8817,1.2297,405.6600036621094,,,,"16609"
"Domingo Germán","PIT",3,4,,3.96111,22,8,0,1,60,244,54,28,26,8,16,,2,59,8.8434,2.48721,3.55556,1.19754,0.24,0.0675,0.17249999195337296,0.238482,1.17707,0.288462,0.71281,,,3.97152,0.875408,0.954551,602.739990234375,,,,"17149"
"Alec Marsh","KCR",7,10,,4.86898,33,19,0,1,123,550,122,72,67,17,56,,8,121,8.82502,4.1082,2.14815,1.21724,0.219697,0.102273,0.11742424964904785,0.251073,1.44548,0.302395,0.686406,,,4.62444,0.855145,0.842509,670.1400146484375,,,,"27451"
"Paul Skenes","PIT",2,3,,4.56693,13,13,0,0,64,268,62,35,33,8,23,,0,50,6.92913,3.14961,2.2,1.10236,0.184874,0.0840336,0.10084033012390137,0.252294,1.31234,0.287425,0.667178,,,4.3574,0.851564,0.722142,294.7200012207031,,,,"sa3023079"
"Ryan Borucki","PIT",3,3,,3.72093,63,0,1,15,63,257,54,28,26,7,21,,3,63,9.06977,3.02326,3,0.930233,0.246835,0.0822785,0.16455695778131485,0.230769,1.18863,0.29,0.717822,,,3.746,0.846536,0.866347,749.4299926757812,,,,"16350"
"Casey Mize","DET",5,7,,4.60815,23,23,0,0,114,481,111,63,58,17,33,,8,85,6.67712,2.63323,2.53571,1.31661,0.176179,0.0694789,0.10669974237680435,0.252717,1.26437,0.279152,0.670611,,,4.77019,0.826582,1.03294,411.8299865722656,,,,"20492"
"Jacob deGrom","TEX",2,1,,2.89433,5,5,0,0,26,102,19,9,9,4,6,,0,38,13.0934,2.06738,6.33333,1.24043,0.375494,0.0592885,0.3162055239081383,0.202532,0.964778,0.293233,0.793651,,,2.87219,0.825588,0.825194,423.6499938964844,,,,"10954"
"Nick Nastrini","CHW",4,6,,4.89971,19,19,0,0,85,377,80,50,46,12,42,,6,85,9.02579,4.46991,2.01923,1.2894,0.225806,0.111828,0.11397850513458252,0.243842,1.44222,0.293706,0.684615,,,4.80232,0.820783,0.510275,999,,,,"sa3017413"
"Camilo Doval","SFG",7,4,,3.66516,66,0,36,2,66,281,53,29,27,7,30,,5,83,11.267,4.0724,2.76667,0.950226,0.294326,0.106383,0.1879432648420334,0.214575,1.25189,0.292994,0.737705,,,3.70753,0.81504,0.960449,57.290000915527344,,,,"21992"
"David Peterson","NYM",4,5,,4.48931,39,11,0,1,85,378,81,46,43,10,39,,5,93,9.83373,4.13302,2.37931,1.06888,0.246429,0.103571,0.1428571492433548,0.242424,1.40934,0.307018,0.700637,,,4.15765,0.811792,0.449989,718.5599975585938,,,,"20302"
"Adbert Alzolay","CHC",4,4,,3.73494,67,0,29,4,67,274,58,30,28,9,18,,4,70,9.39759,2.40964,3.9,1.20482,0.254902,0.0653595,0.1895424723625183,0.231317,1.13788,0.284974,0.71831,,,3.911,0.809011,1.02184,119.30000305175781,,,,"17859"
