Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Paul Blackburn","OAK",7,9,,4.40943,26,26,0,0,137,601,144,73,67,17,47,,5,110,7.19683,3.10526,2.31762,1.12766,0.182752,0.0788534,0.10389910638332367,0.263109,1.39557,0.301593,0.710766,,,4.43291,1.26979,1.21505,545.75,,,,"14739"
"Raisel Iglesias","ATL",5,3,,3.35422,66,0,31,3,66,271,57,27,25,8,17,,2,80,10.9193,2.37808,4.59164,1.15262,0.295356,0.0643247,0.23103086650371552,0.226706,1.12943,0.297821,0.761333,,,3.36752,1.25101,1.44616,61.150001525878906,,,,"17130"
"Josh Hader","HOU",4,2,,3.21541,63,0,31,2,63,258,44,25,23,8,27,,3,89,12.6911,3.79061,3.34805,1.11762,0.344038,0.102758,0.2412804663181305,0.194735,1.12743,0.278182,0.77437,,,3.46524,1.24098,1.37597,46.099998474121094,,,,"14212"
"Jordan Wicks","CHC",6,7,,4.38062,31,23,0,1,121,524,121,64,59,16,42,,5,103,7.60945,3.13971,2.42362,1.21041,0.195907,0.0808326,0.11507473886013031,0.254356,1.34808,0.293283,0.710176,,,4.47446,1.21669,1.43196,436.7900085449219,,,,"30094"
"Max Meyer","MIA",5,6,,4.28486,26,18,0,1,98,427,97,51,47,12,39,,3,91,8.32581,3.58693,2.32115,1.09328,0.212832,0.0916925,0.12113983184099197,0.251705,1.38369,0.301212,0.715541,,,4.28216,1.19583,1.28529,400.79998779296875,,,,"27474"
"Ryan Helsley","STL",5,4,,3.33561,65,0,30,4,65,266,50,26,24,8,27,,1,81,11.2335,3.7295,3.01206,1.07727,0.304614,0.101132,0.20348278433084488,0.210119,1.18452,0.283125,0.767143,,,3.61173,1.18339,1.44351,92.54000091552734,,,,"18138"
"Kyle Freeland","COL",7,12,,5.53605,29,29,0,0,162,723,195,106,100,28,49,,7,104,5.80114,2.71511,2.13662,1.57573,0.144355,0.0675624,0.07679270952939987,0.292218,1.50533,0.311748,0.673602,,,5.28045,1.17332,1.47369,654.3900146484375,,,,"16256"
"A.J. Minter","ATL",5,3,,3.54925,64,0,3,12,64,264,54,27,25,8,20,,2,78,10.9069,2.87374,3.79537,1.09,0.293293,0.0772766,0.21601654589176178,0.224218,1.16654,0.296905,0.743902,,,3.46568,1.16781,1.19049,445.8399963378906,,,,"18655"
"Gavin Williams","CLE",6,7,,4.18459,23,23,0,0,118,502,106,59,55,16,47,,6,119,9.1015,3.59345,2.5328,1.24311,0.237502,0.0937705,0.1437314972281456,0.236204,1.29902,0.286346,0.721674,,,4.37442,1.16485,1.48362,198.4199981689453,,,,"30122"
"Wade Miley","MIL",7,9,,4.39546,24,24,0,0,133,580,141,70,65,19,47,,4,95,6.39576,3.15324,2.02831,1.25366,0.163132,0.0804277,0.08270476758480072,0.265921,1.40679,0.293692,0.725856,,,4.79508,1.15946,1.63074,529.9199829101562,,,,"8779"
