Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Cade Marlowe","SEA",32.472,118.469,107.707,22.3765,14.3181,4.65607,0.611312,2.79111,13.0173,10.5017,8.75747,0.172891,38.0406,1.1386,0.734155,0.131578,1.30642,3.9877,1.26528,0.207753,0.073922,0.321102,0.230214,0.272717,0.340075,0.268952,0.612792,0.132322,6.03539,0.289684,,0.0782531,9.57213,-4.86263,71.7453,0.0782531,2,-3.9325234591960907,0.6971111297607422,0.0786101,748.1400146484375,,,,"25505"
"Casey Schmitt","SFG",26.175,93.718,86.6783,20.1774,13.9514,4.01186,0.338306,1.87586,9.1734,9.21147,5.08422,0.144764,21.7725,0.968746,0.680802,0.305927,1.71401,0.661497,0.265054,0.232785,0.0542502,0.232319,0.233516,0.280803,0.3518,0.275909,0.632603,0.119015,3.6606,0.28726,,-0.132595,8.11372,-3.30527,73.8488,-0.132595,0.09,-3.1688091307878494,0.7632252871990204,0.0785195,707.5399780273438,,,,"27577"
"Victor Scott II","STL",33.711,137.487,125.143,29.0173,20.6978,5.60229,0.891209,1.826,16.1271,10.3798,8.01283,0.230215,27.762,1.82105,0.900763,1.60935,2.26677,7.49426,1.60793,0.231873,0.0582807,0.201925,0.288626,0.285928,0.334658,0.272989,0.620586,0.102784,6.99588,0.281905,,0.586702,11.5697,-5.18233,70.4774,0.586702,0,-4.441757678985596,0.5202314257621765,0.0760546,999,,,,"31349"
"Spencer Horwitz","TOR",25.914,93.235,82.3868,20.2111,13.9364,4.44745,0.137657,1.68959,10.0431,9.23113,9.07942,0.314356,18.3769,0.982185,0.688825,0.0977481,2.10353,0.646112,0.248141,0.245319,0.0973821,0.197103,0.494066,0.325033,0.364167,0.304296,0.6892,0.118848,3.02654,0.293949,,-0.157997,10.27,-1.09011,93.3575,-0.157997,-0.11,-0.9000689536333084,-1.509675845503807,0.0754797,750.4199829101562,,,,"26477"
"Osleivis Basabe","TBR",9.359,35.387,32.8763,8.2041,6.01877,1.71348,0.166164,0.30569,3.57779,2.92796,1.88645,0.0485294,6.39529,0.244263,0.208,0.172026,0.807546,0.810583,0.259976,0.249545,0.053309,0.180724,0.294975,0.293478,0.339667,0.277896,0.633145,0.090122,5.10786,0.299372,,-0.0100322,3.12207,-1.18963,78.2394,-0.0100322,0.05,-0.9327057478949428,0.4832870550453663,0.0750357,999,,,,"23985"
"Jorbit Vivas","NYY",7.322,29.637,26.666,6.60222,4.57312,1.42532,0.134187,0.469589,3.27334,2.81852,2.06897,0.0567451,4.15045,0.667921,0.197088,0.0370528,0.61916,0.394123,0.140145,0.24759,0.0698102,0.140043,0.498492,0.315511,0.363935,0.299411,0.679446,0.116345,4.60568,0.27571,,-0.0362149,3.14432,-0.466774,90.6369,-0.0362149,0,-0.3687097243964672,0.11299382150173187,0.0748769,999,,,,"sa3005511"
"Nick Gonzales","PIT",41.781,162.779,147.06,33.2727,21.5564,7.78349,0.900706,3.03216,16.1589,15.7671,12.0187,0.394021,48.9903,2.40662,0.960648,0.333452,2.72679,1.36453,0.54019,0.226254,0.0738347,0.300962,0.245329,0.293625,0.353286,0.284057,0.646912,0.127033,4.28053,0.315014,,-0.229304,15.1943,-4.6394,74.1659,-0.229304,-0.05,-5.438963875174522,0.594768475741148,0.0699756,749.6400146484375,,,,"27490"
"José Fermín","STL",12.739,41.691,37.0874,9.01164,6.46763,1.78243,0.142414,0.619166,4.54495,3.69089,3.17306,0.139709,5.56545,0.606681,0.304104,0.519751,0.889956,0.948061,0.290464,0.242984,0.076109,0.133493,0.570135,0.310687,0.348808,0.291008,0.659496,0.105824,4.87896,0.26893,,-0.010867,4.13224,-0.947562,82.5572,-0.010867,-0.01,-0.91176931373775,0.18658949993550777,0.0693282,999,,,,"21746"
"Nick Gordon","MIA",73.73,268.308,245.9,57.9553,37.7015,13.4634,1.6994,5.09109,29.1287,24.8204,15.1149,0.505605,58.2258,3.62782,1.9461,1.56629,4.38086,7.57363,2.14254,0.235687,0.0563343,0.217011,0.259592,0.287702,0.366372,0.284452,0.654073,0.130685,5.83673,0.286482,,0.179393,25.1326,-7.55912,75.3752,0.179393,1.09,-8.005733519792557,-0.4692193269729614,0.0664506,645.6900024414062,,,,"16337"
"Matt Duffy","TEX",54.25,159.522,145.078,35.7182,28.0858,5.82308,0.345162,1.46409,15.8737,13.4483,11.2367,0.0806511,31.4773,2.04608,0.89107,0.270046,4.02466,1.26506,0.500819,0.2462,0.0704399,0.197323,0.356979,0.307695,0.321371,0.281169,0.629065,0.0751711,3.4551,0.303059,,-0.276501,14.5076,-4.92918,73.5142,-0.276501,0,-5.339019030332565,0.5861331820487976,0.066332,999,,,,"13836"
"Jeter Downs","NYY",33.833,58.21,52.3492,10.4336,6.3012,2.41613,0.13386,1.58238,6.55269,5.58316,4.63587,0.0620583,17.1326,0.729565,0.407526,0.087825,0.56836,2.06323,0.481686,0.199307,0.0796404,0.294324,0.270588,0.271824,0.341257,0.26972,0.613081,0.14195,5.80219,0.26001,,0.119921,4.7404,-2.35215,70.0576,0.119921,0,-1.9684907719492912,0.6416445970535278,0.064839,999,,,,"22202"
"Otto Lopez","MIA",8.439,33.959,31.2051,8.1539,6.15433,1.43074,0.234057,0.334776,3.87823,2.81298,2.10449,0.11839,5.9908,0.29221,0.221231,0.135953,0.762885,1.03255,0.340714,0.2613,0.0619715,0.176413,0.351287,0.311935,0.354335,0.292046,0.666271,0.0930354,5.71054,0.311509,,-0.00227331,3.39517,-0.742541,84.6673,-0.00227331,0,-0.6473201408516616,0.13023146986961365,0.0638098,999,,,,"19608"
"Jace Jung","DET",9.212,37.143,33.082,7.18731,4.41671,1.48295,0.18495,1.1027,3.90732,4.02344,3.4384,0.114666,10.4931,0.392052,0.181195,0.049398,0.576233,0.169881,0.0661877,0.217258,0.0925718,0.282505,0.327682,0.297026,0.373263,0.293141,0.670289,0.156005,3.74089,0.280819,,-0.056622,3.74728,-0.778383,83.9389,-0.056622,0,-0.7714208289980888,0.14216049015522003,0.0630497,999,,,,"sa3019992"
"Blaze Alexander","ARI",18.141,73.066,66.2052,14.9311,10.0562,3.08074,0.311585,1.48255,7.79099,7.12863,5.16832,0.0349131,23.783,1.07626,0.413415,0.202761,1.29158,1.04486,0.315293,0.225528,0.0707349,0.3255,0.217312,0.290622,0.348653,0.281764,0.639275,0.123125,4.74708,0.325213,,-0.0494379,6.68109,-2.22157,73.7973,-0.0494379,0,-2.4212473891675472,0.5599074363708496,0.0626268,707.6300048828125,,,,"23789"
"Rafael Marchán","PHI",9.426,36.548,33.4129,7.97543,5.63772,1.81646,0.150309,0.370933,3.45743,3.3923,2.37658,0.0598148,5.20582,0.453918,0.25214,0.0524815,0.726414,0.183824,0.0624242,0.238693,0.0650262,0.142438,0.456524,0.296089,0.335359,0.27873,0.631448,0.0966658,3.40856,0.270736,,-0.0543708,3.24982,-1.20334,71.4621,-0.0543708,0,-1.3464950546622276,0.7273147702217102,0.0624254,999,,,,"21646"
"Joey Wiemer","MIL",59.915,221.347,199.774,43.6809,26.6365,9.33122,0.780239,6.93294,24.6518,24.3604,17.878,0.70364,63.2361,2.2127,1.2321,0.249925,3.46689,5.37218,1.53709,0.218651,0.0807693,0.285688,0.282719,0.288433,0.377283,0.289437,0.665716,0.158632,5.22229,0.280868,,0.0710481,21.6502,-5.31962,78.9399,0.0710481,1.35,-5.703948654234409,-1.2183727025985718,0.0617294,590.8300170898438,,,,"27690"
"Taylor Trammell","LAD",26.492,92.171,81.2868,16.4568,9.98469,3.31578,0.21817,2.93817,10.6283,9.07347,9.03287,0.207571,28.9833,1.03977,0.501529,0.31007,1.24891,2.73485,0.72638,0.202454,0.0980012,0.314451,0.311658,0.2888,0.35705,0.284365,0.64585,0.154596,5.30207,0.271095,,0.0874363,8.62709,-2.60341,82.428,0.0874363,0.15,-1.853215679526329,-0.6676543056964874,0.0607949,750.8200073242188,,,,"19960"
"Hunter Dozier","LAA",15.372,57.88,52.3609,11.4179,7.18982,2.12498,0.435081,1.66801,6.76854,5.80024,4.66301,0.0135995,16.2424,0.465277,0.318804,0.0720559,0.813854,0.941078,0.340019,0.218062,0.0805634,0.280622,0.287089,0.286227,0.370832,0.287001,0.657059,0.15277,5.40574,0.280417,,-0.0501069,5.54421,-1.50813,78.0542,-0.0501069,0,-1.5720987021923065,0.2126690149307251,0.0604722,999,,,,"15117"
"Dane Myers","MIA",21.636,80.538,74.4734,18.4754,13.0101,3.44004,0.288555,1.73668,8.73519,7.782,4.37785,0.0591592,20.4067,1.01565,0.421793,0.249306,1.6334,1.72257,0.524651,0.24808,0.0543576,0.25338,0.21453,0.297288,0.371979,0.292117,0.669267,0.123899,4.81477,0.31731,,-0.0182757,8.05677,-1.75631,80.5138,-0.0182757,0.43,-1.962497217580676,-0.18641024827957153,0.0593368,750.1799926757812,,,,"22054"
"Rodolfo Castro","PHI",26.129,92.586,84.1342,17.9056,11.071,3.49074,0.378442,2.96539,10.0534,10.4547,6.77052,0.155852,27.8209,1.01621,0.567993,0.0971173,1.64124,1.31257,0.450084,0.212822,0.0731268,0.300487,0.243361,0.277788,0.369046,0.281479,0.646834,0.156224,4.6608,0.277102,,-0.0715572,8.44405,-2.83701,73.3049,-0.0715572,-0.1,-3.133487358689308,0.5720421299338341,0.0591315,999,,,,"21987"
