Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Connor Scott","PIT",0.25,1,0.9142,0.2051,0.1335,0.0492,0.0054,0.017,0.0987,0.0951,0.065,0,0.2299,0.007,0.0075,0.0063,,0.0181,0.0076,0.224349,0.065,0.2299,0.282732,0.278857,0.345767,0.273593,0.624624,0.121418,5.01855,0.278749,0,-0.0011712,0.0846524,-0.0371918,67.1509,-0.0011712,0,-0.04186624090652913,-0.028999999165534973,-0.0036692,999,,,,"sa3008080"
"Robert Emery",,0.25,1,0.8892,0.1861,0.1271,0.0385,0.0032,0.0174,0.0963,0.0883,0.082,0,0.2899,0.015,0.0075,0.0063,,0.0079,0.0033,0.209289,0.082,0.2899,0.282856,0.284895,0.318601,0.269599,0.603496,0.109312,3.73925,0.286223,0,-0.00153958,0.0813361,-0.0405081,66.934,-0.00153958,0,-0.04183146636933088,-0.028999999165534973,-0.00367101,999,,,,"sa3014940"
"Michael De León",,0.25,1,0.9172,0.2028,0.1458,0.0411,0.0025,0.0135,0.0913,0.0866,0.061,0.002,0.244,0.008,0.0075,0.0063,,0.0067,0.0027,0.221108,0.061,0.244,0.25,0.273523,0.315635,0.259792,0.589158,0.0945268,3.356,0.283723,0,-0.00143926,0.0731913,-0.0486528,60.2499,-0.00143926,0,-0.049875913886353374,-0.020999999716877937,-0.00367544,999,,,,"sa823925"
"Sal Gozzo",,0.25,1,0.9162,0.1738,0.1241,0.0381,0.003,0.0086,0.0809,0.073,0.059,0,0.3024,0.011,0.0075,0.0063,,0.0113,0.0046,0.189697,0.059,0.3024,0.195106,0.245346,0.26599,0.229341,0.511336,0.0762934,4.14941,0.269626,0,-0.00117712,0.0479013,-0.0739428,39.4954,-0.00117712,0,-0.07490377745125443,0.004000000189989805,-0.00367822,999,,,,"sa3010708"
"Manuel Mejias","CLE",0.25,1,0.9279,0.1556,0.1175,0.0236,0.0018,0.0127,0.073,0.072,0.0483,0,0.269,0.01,0.0075,0.0063,,0.0085,0.0035,0.16769,0.0483,0.269,0.179554,0.215256,0.238064,0.203481,0.453321,0.070374,3.65903,0.218602,0,-0.00113183,0.0264243,-0.0954199,24.1916,-0.00113183,0,-0.09196616092231125,0.020999999716877937,-0.00368971,999,,,,"sa3015785"
"Hogan Windish","SEA",0.25,1,0.905,0.1743,0.1194,0.0289,0.0023,0.0238,0.0916,0.0908,0.0692,0,0.3424,0.012,0.0075,0.0063,,0.0084,0.0034,0.192597,0.0692,0.3424,0.202103,0.25712,0.308619,0.251076,0.565739,0.116022,3.80221,0.27549,0,-0.00130071,0.0659521,-0.0558921,59.3547,-0.00130071,0,-0.05000228271819651,-0.020999999716877937,-0.00369332,999,,,,"sa3019805"
"Chris Bec",,0.25,1,0.8822,0.1739,0.1217,0.0341,0.003,0.0151,0.0941,0.0819,0.095,0,0.2788,0.009,0.0075,0.0063,,0.0212,0.0084,0.197121,0.095,0.2788,0.340746,0.279662,0.293924,0.259062,0.573586,0.0968034,4.56486,0.266532,0,-0.0010445,0.072585,-0.0492592,59.7523,-0.0010445,0,-0.05008753889705986,-0.020999999716877937,-0.00369654,999,,,,"sa3006727"
"Alex Ramírez","NYM",0.25,1,0.9098,0.1804,0.131,0.0324,0.0021,0.0149,0.088,0.0815,0.0674,0,0.2695,0.009,0.0075,0.0063,,0.0166,0.0072,0.198285,0.0674,0.2695,0.250093,0.258428,0.287646,0.244041,0.546074,0.0893603,4.11876,0.261495,0,-0.001317,0.0601098,-0.0617344,53.2923,-0.001317,0,-0.05918077635578811,-0.012000000104308128,-0.00370056,999,,,,"sa3014695"
"Jack Alexander","KCR",0.25,1,0.9297,0.1659,0.1233,0.0285,0.0027,0.0115,0.0754,0.0724,0.0465,0,0.2873,0.01,0.0075,0.0063,,0.0068,0.0028,0.178445,0.0465,0.2873,0.161852,0.22381,0.252124,0.212505,0.475934,0.0736797,3.73642,0.241855,0,-0.0012072,0.0339191,-0.087925,24.1562,-0.0012072,0,-0.0920839651953429,0.020999999716877937,-0.00370146,999,,,,"sa3019901"
"Cameron Cauley","TEX",0.25,1,0.9135,0.1676,0.1202,0.0294,0.0024,0.0156,0.0865,0.0796,0.0637,0.001,0.3245,0.009,0.0075,0.0063,,0.0266,0.0102,0.18347,0.0637,0.3245,0.196302,0.241823,0.27214,0.229519,0.513964,0.0886699,5.03696,0.261663,0,-0.000463809,0.0480493,-0.0737948,37.7148,-0.000463809,0,-0.0750944796600379,0.004000000189989805,-0.00370251,999,,,,"sa3017167"
"Anthony Quirion",,0.25,1,0.9132,0.1441,0.1017,0.0238,0.0016,0.017,0.0768,0.0745,0.058,0,0.3644,0.015,0.0075,0.0063,,0.0079,0.0033,0.157797,0.058,0.3644,0.159166,0.218476,0.243211,0.208501,0.461687,0.0854139,3.66068,0.235676,0,-0.00115894,0.0305938,-0.0912504,25.2917,-0.00115894,0,-0.0921931539196521,0.020999999716877937,-0.00370707,999,,,,"sa3017477"
"Michael Curialle","STL",0.25,1,0.911,0.171,0.1296,0.0295,0.0021,0.0097,0.081,0.0736,0.0592,0,0.2894,0.016,0.0075,0.0063,,0.0095,0.004,0.187706,0.0592,0.2894,0.204561,0.247761,0.256531,0.228052,0.504292,0.0688255,3.73178,0.260413,0,-0.00136632,0.046831,-0.0750132,40.3527,-0.00136632,0,-0.07526033802423626,0.004000000189989805,-0.00370849,999,,,,"sa3019837"
"Drew Mendoza",,0.25,1,0.9032,0.1821,0.1217,0.0353,0.0029,0.0222,0.0951,0.0928,0.072,0.002,0.3179,0.011,0.0075,0.0063,,0.0088,0.0036,0.201616,0.072,0.3179,0.226486,0.266781,0.320859,0.259201,0.58764,0.119243,3.86041,0.280231,0,-0.00132131,0.0726999,-0.0491443,59.8466,-0.00132131,0,-0.050249380175955594,-0.020999999716877937,-0.00371268,999,,,,"sa3011256"
"Jeremy Ydens",,0.25,1,0.9312,0.1751,0.1256,0.0271,0.0024,0.02,0.0844,0.0864,0.04,0,0.2859,0.015,0.0075,0.0063,,0.0138,0.0055,0.188037,0.04,0.2859,0.139909,0.231559,0.286727,0.228566,0.518286,0.0986899,4.19281,0.245101,0,-0.000952974,0.0472575,-0.0745867,38.967,-0.000952974,0,-0.07532347046071663,0.004000000189989805,-0.00372007,999,,,,"sa3010852"
"Korey Holland",,0.25,1,0.9078,0.187,0.1191,0.0414,0.0047,0.0218,0.0964,0.0952,0.0704,0.002,0.3479,0.008,0.0075,0.0063,,0.0158,0.0065,0.205993,0.0704,0.3479,0.202357,0.267083,0.333994,0.263258,0.601077,0.128002,4.89097,0.302786,0,-0.00108986,0.0760692,-0.045775,65.6242,-0.00108986,0,-0.04227929865010083,-0.028999999165534973,-0.00372094,999,,,,"sa3008249"
"Josiah Sightler","PIT",0.25,1,0.9225,0.1953,0.1343,0.029,0.0021,0.03,0.0976,0.1049,0.0527,0.002,0.2686,0.011,0.0075,0.0063,,0.0074,0.003,0.211707,0.0527,0.2686,0.196203,0.260642,0.345366,0.263466,0.606008,0.133659,3.46498,0.261799,0,-0.00129644,0.0762425,-0.0456017,60.3625,-0.00129644,0,-0.05040137469768524,-0.020999999716877937,-0.00372256,999,,,,"sa3021047"
