Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Brett Sullivan","SDP",18.834,65.317,60.3806,13.8612,9.35122,3.32381,0.21087,0.975251,6.18226,6.3357,3.91301,0.129064,10.5161,0.414685,0.507563,0.101119,1.11838,0.819158,0.245956,0.229563,0.059908,0.161001,0.372097,0.278902,0.34005,0.270507,0.618952,0.110487,4.20964,0.260865,,-0.0443841,5.36188,-2.59661,71.6952,-0.0443841,-0.08,-2.334748327732086,-0.25438888370990753,-0.0362738,999,,,,"18217"
"Jose Herrera","ARI",25.011,82.208,72.8144,15.3848,11.3854,3.09432,0.187074,0.718078,7.41512,6.23197,7.30811,0.174408,19.5895,0.613812,0.485547,0.986108,1.8961,0.426129,0.143404,0.211288,0.0888978,0.238291,0.373064,0.286952,0.288508,0.259591,0.57546,0.0772196,3.14143,0.276771,,-0.122723,6.00315,-4.01341,58.9326,-0.122723,-0.79,-4.305167384445667,1.1398610472679138,-0.0363423,750.1099853515625,,,,"17040"
"Irving Lopez",,18.387,48.864,44.0134,9.33089,6.40995,2.09338,0.169058,0.6585,4.49881,4.20154,3.29214,0.053208,10.921,0.915875,0.316242,0.326338,0.961627,0.281053,0.0672884,0.212001,0.0673735,0.223497,0.301451,0.278936,0.31213,0.26327,0.591066,0.100129,3.66801,0.264804,,-0.0535932,3.71756,-2.23623,63.9624,-0.0535932,0,-2.235135070979595,0.1795414388179779,-0.0389677,999,,,,"20463"
"Dominic Fletcher","CHW",102.283,408.502,372.851,85.8219,59.3164,16.7683,1.69134,8.04582,40.2588,36.9122,26.6503,0.663183,99.3935,4.91739,2.76057,1.32272,7.54699,3.93986,1.46844,0.230177,0.065239,0.243312,0.268129,0.288299,0.348961,0.279539,0.63726,0.118783,4.13875,0.290023,,-0.526986,36.5982,-13.1753,73.8011,-0.526986,3.3,-13.35056483745575,-0.917802095413208,-0.0392688,612.0700073242188,,,,"26149"
"Brian Serven","TOR",18.944,62.866,57.7137,10.7612,7.17282,2.18134,0.0838747,1.32314,5.08995,5.78893,3.70719,0.029657,18.4925,0.812232,0.424958,0.207926,1.02779,0.0665926,0.0318262,0.186458,0.0589697,0.294158,0.20047,0.243873,0.295938,0.239117,0.53981,0.10948,2.04524,0.246276,,-0.0899762,3.52176,-4.1381,48.18,-0.0899762,0,-3.993401937186718,1.4617284536361694,-0.0395341,750.77001953125,,,,"19422"
"Gilberto Celestino","PIT",11.622,38.337,34.4871,8.31988,6.19177,1.60447,0.166304,0.357342,3.84556,3.19926,3.19454,0.0818069,8.01177,0.299668,0.206118,0.149574,0.933492,0.492146,0.177503,0.241246,0.0833279,0.208983,0.398731,0.309371,0.328499,0.283969,0.637871,0.087253,4.34422,0.302481,,-0.0504923,3.5757,-1.09544,74.1072,-0.0504923,0,-1.2802394665777683,-0.42258599400520325,-0.0395551,999,,,,"20233"
"Corey Julks","HOU",29.945,113.818,103.684,24.3713,16.2303,5.0525,0.325204,2.7633,13.6836,11.483,8.4752,0.500986,27.126,0.882094,0.624723,0.151528,1.59003,3.54906,1.17414,0.235053,0.0744628,0.238328,0.312439,0.296733,0.370008,0.290245,0.666741,0.134956,5.35818,0.290352,,0.0209394,11.2091,-2.65898,83.0755,0.0209394,0.09,-2.2871827594935894,-1.989513784646988,-0.0409764,742.1699829101562,,,,"20311"
"Forrest Wall","ATL",21.786,57.506,52.413,11.4445,8.1023,2.34325,0.264928,0.734022,7.44538,3.82208,3.99774,0.0820565,16.6672,0.64287,0.281709,0.170683,0.603503,4.80382,0.614195,0.218352,0.0695187,0.289834,0.239857,0.280544,0.315183,0.264498,0.595727,0.0968304,7.79755,0.303469,,0.603973,4.43367,-2.5731,61.0366,0.603973,0.54,-2.1718291640281677,-0.19964808225631714,-0.0411064,715.52001953125,,,,"16496"
"Bryce Johnson","SDP",23.222,44.98,40.7203,8.99611,6.43931,1.64747,0.201124,0.708203,5.04411,3.54379,3.35985,0.0446184,13.0291,0.468233,0.214602,0.217037,0.720377,1.9685,0.477585,0.220925,0.0746965,0.289665,0.257872,0.286491,0.323437,0.270892,0.609928,0.102512,6.17747,0.30473,,0.113353,3.70679,-1.77376,71.9532,0.113353,0,-1.4495114907622337,-0.4958112835884094,-0.0411673,999,,,,"20002"
"Jimmy Herron","COL",11.507,39.396,35.5849,8.58591,5.64751,1.86021,0.19121,0.886968,4.68249,3.89107,3.00074,0.0924238,8.70045,0.465641,0.27035,0.0743427,0.605072,1.35006,0.223741,0.241279,0.0761687,0.220846,0.344895,0.306505,0.379077,0.299198,0.685583,0.137798,5.91964,0.293093,,0.106064,4.17274,-0.627429,70.7613,0.106064,0,-1.320952020585537,-0.4342592656612396,-0.041181,999,,,,"sa3008183"
"Greg Allen","NYY",26.974,54.615,48.2172,10.1847,7.10115,1.96854,0.206339,0.908676,6.50139,3.92484,3.83963,0.105452,14.357,1.74067,0.299797,0.517715,0.848882,2.91409,0.782243,0.211226,0.0703036,0.262877,0.267439,0.29142,0.317147,0.272682,0.608567,0.105922,6.79332,0.278968,,0.15575,4.58197,-2.07255,72.1104,0.15575,0,-1.6693509072065353,-0.6020172238349915,-0.0415221,999,,,,"16623"
"Taylor Kohlwey","NYM",10.5,29.281,26.3235,5.76512,4.12687,1.20044,0.0843345,0.353483,2.84507,2.2937,2.36223,0.0446945,6.63703,0.372461,0.1756,0.0471772,0.558794,0.461881,0.126864,0.21901,0.0806745,0.226667,0.355917,0.290753,0.311306,0.269247,0.602059,0.092296,4.47303,0.277397,,-0.0136951,2.37303,-1.19469,70.1898,-0.0136951,0,-1.0950507428497076,-0.3227623403072357,-0.0419013,999,,,,"19212"
"Dylan Crews","WSN",38.121,156.368,142.906,32.2836,21.5071,6.28118,0.407638,4.08762,15.924,15.8197,9.83219,0.318267,41.1013,2.29877,0.921574,0.409781,2.6706,3.23209,0.74628,0.225908,0.0628786,0.26285,0.239218,0.284785,0.361377,0.282153,0.646162,0.135469,4.80151,0.285852,,0.0746964,14.3487,-4.70387,73.8985,0.0746964,0,-4.981594741344452,-0.7780570387840271,-0.0430922,999,,,,"sa3022882"
"Nathan Martorella","SDP",10.026,38.024,34.2021,7.77803,5.13603,1.64674,0.0762885,0.918978,3.89066,4.01751,3.22397,0.0545587,8.28666,0.336659,0.204817,0.0564255,0.787053,0.20732,0.0558754,0.227414,0.0847879,0.217932,0.389056,0.298641,0.360629,0.289935,0.65927,0.133215,3.16221,0.272171,,-0.0487081,3.7349,-0.898099,84.7192,-0.0487081,0,-0.7685252092778683,-0.9670138955116272,-0.0438806,999,,,,"sa3019978"
"Greg Jones","COL",11.195,43.581,40.0288,8.95522,6.00878,1.75441,0.294103,0.897934,5.28445,3.52886,2.67561,0.0164505,16.049,0.596163,0.18172,0.0986847,0.610091,2.22638,0.298122,0.223719,0.061394,0.368257,0.166715,0.281195,0.349539,0.276753,0.630734,0.12582,7.38449,0.346348,,0.248064,3.80363,-1.50646,55.7146,0.248064,0,-2.1429189145565033,0.21595291793346405,-0.0440898,999,,,,"sa3010151"
