Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Kevin Pillar","CHW",29,126,117,28,17,5,0,5,15,15,6,0,28,2,1,0,,2,1,0.236512,0.0476912,0.223836,0.213063,0.281601,0.408071,0.296505,0.689672,0.171559,4.76717,0.270362,0.0650484,-0.126426,13.0638,-2.28855,85.5602,-0.0613781,0.243403,-2.241422489285469,-0.9065967500209808,0.112831,750.4299926757812,,,,"12434"
"Carlos Pérez","OAK",15,58,52,11,7,2,0,2,6,6,4,0,12,1,0,0,,0,0,0.219091,0.0740831,0.215522,0.343739,0.287935,0.378848,0.291161,0.666784,0.159757,1.88408,0.248659,-0.0467934,-0.127757,5.71642,-1.3018,87.4962,-0.174551,-0.128274,-1.0375241339206696,0.9967260956764221,0.109424,749.2999877929688,,,,"10642"
"Alan Trejo","COL",41,175,162,40,25,10,1,5,20,21,10,0,41,2,1,1,,2,1,0.247445,0.0557224,0.233947,0.238184,0.294825,0.407722,0.302928,0.702547,0.160277,4.38057,0.300708,-0.0326224,-0.379014,19.0777,-2.24504,73.2615,-0.411636,0.368071,-6.208502858877182,1.3430714011192322,0.109378,747.2899780273438,,,,"20056"
"Orelvis Martinez","TOR",18,77,69,15,8,3,0,3,8,10,6,0,21,1,1,0,,0,0,0.216504,0.0821999,0.27305,0.301043,0.287327,0.401486,0.297222,0.688813,0.184982,2.96501,0.260145,-0.00336122,-0.114975,8.02932,-1.35268,88.4541,-0.118336,-0.609992,-1.1835862919688225,-0.33499225974082947,0.109359,999,,,,"sa3010692"
"Elehuris Montero","COL",84,364,331,84,51,16,2,15,44,51,23,0,100,5,3,1,,1,1,0.254006,0.0637917,0.27429,0.23257,0.310084,0.451762,0.326165,0.761846,0.197755,3.03114,0.313156,0.02402,-0.763888,46.7063,2.35503,88.8394,-0.739868,0.749433,-5.772641181945801,-5.5505675077438354,0.107534,438.8599853515625,,,,"20543"
"Tyler Fitzgerald","SFG",28,119,108,24,15,5,1,3,14,13,8,0,36,2,1,1,,3,1,0.21984,0.0631863,0.304389,0.207584,0.278837,0.370636,0.282584,0.649473,0.150796,6.39042,0.296212,-0.015946,0.16945,10.9622,-3.53723,78.3237,0.153504,-0.434976,-3.042081266641617,0.04002419114112854,0.104934,748,,,,"26208"
"Spencer Horwitz","TOR",6,28,24,6,4,1,0,1,3,3,3,0,5,0,0,0,,0,0,0.257255,0.116541,0.194808,0.598236,0.350807,0.387561,0.32606,0.738369,0.130306,3.24434,0.309886,-0.00105268,-0.0578838,3.59034,0.178706,108.442,-0.0589365,0.220462,0.22429053112864494,-0.12953846156597137,0.10428,750.4199829101562,,,,"26477"
"Danny Mendick","CHW",10,42,38,9,7,2,0,1,5,4,3,0,8,0,0,0,,1,0,0.245307,0.0768551,0.192967,0.398282,0.310058,0.358508,0.295419,0.668567,0.113202,4.11594,0.289946,-0.00915571,-0.0408282,4.31672,-0.800732,84.8074,-0.0499839,0.258879,-0.814548883587122,0.4088793098926544,0.101796,999,,,,"18889"
"Jose Miranda","MIN",15,63,58,15,10,3,0,2,7,8,4,0,11,1,0,0,,0,0,0.266195,0.0619713,0.172629,0.358986,0.321361,0.41645,0.319887,0.737811,0.150255,2.68344,0.299108,-0.0133563,-0.116481,7.75531,0.0791265,104.061,-0.129837,-0.0451228,0.17668311297893524,-1.3201227858662605,0.0993509,640.489990234375,,,,"20538"
"Matt Carpenter","STL",39,168,142,30,17,7,1,5,18,19,22,0,47,3,1,0,,1,1,0.21409,0.131076,0.279428,0.469087,0.327884,0.386814,0.316028,0.714698,0.172724,3.29526,0.275246,-0.318439,-0.385195,20.1424,-0.327377,99.3304,-0.703634,0.0558486,-0.8429896533489227,-3.894151471555233,0.0983886,745.5499877929688,,,,"8090"
