Rk.,Player,Year,Pitches,Total,Pitch %,PA,Glove/Arm-Side Movement (in),Vertical Movement w/o Gravity (in),wOBA,xwOBA,BABIP,Whiff%,Pitch (MPH),Perceived Velocity,Spin (RPM),Vertical Release Pt (ft),Horizontal Release Pt (ft),Extension (ft),xWOBA/Average xWOBA of Year
9,"Steele, Justin LHP",2022,1147,2032,56.4,274,1.6 GLV,12.6,0.365,0.336,0.376,20.3,92.2,92.5,2490,6.08,1.9,6.3,1.012134069
24,"Bubic, Kris LHP",2022,1143,2262,50.5,277,7.7 ARM,16.5,0.434,0.389,0.398,20.1,91.9,92.4,2134,5.72,1.64,6.6,1.171786169
16,"Williams, Trevor RHP",2022,743,1407,52.8,225,6.9 ARM,12.9,0.293,0.284,0.309,19.9,91.2,92,2242,5.01,-2.29,6.7,0.8554942724
64,"Morton, Charlie RHP",2022,977,2903,33.7,278,10.6 ARM,12.5,0.351,0.345,0.295,19.9,94.9,94.5,2373,5.49,-2.28,6.2,1.039244803
33,"Gallen, Zac RHP",2022,1410,2935,48,310,3.4 ARM,17.6,0.256,0.295,0.209,19.7,94.1,94.4,2420,5.95,-2.82,6.6,0.8886296139
10,"McKenzie, Triston RHP",2022,1575,2807,56.1,407,3.0 ARM,20.5,0.285,0.335,0.218,19.6,92.5,93,2312,6.49,-1.85,6.8,1.009121765
35,"Thompson, Keegan RHP",2022,891,1878,47.4,219,4.5 ARM,17.2,0.364,0.375,0.299,19.6,93.5,89,2369,5.78,-1.45,6.3,1.129613916
44,"Lynch IV, Daniel LHP",2022,1043,2435,42.8,252,6.8 ARM,15.6,0.356,0.376,0.351,19.4,94,95.2,2125,5.86,1.28,6.9,1.13262622
70,"Berríos, José RHP",2022,755,2721,27.7,204,10.6 ARM,14.5,0.44,0.406,0.387,19,94,94,2241,5.46,-2.76,6.4,1.222995333
18,"Urquidy, José RHP",2022,1392,2640,52.7,347,7.7 ARM,19.8,0.334,0.37,0.237,18.8,93.5,92.6,2201,6.44,-1.27,5.9,1.114552397
60,"Rasmussen, Drew RHP",2022,798,2239,35.6,205,2.3 ARM,16.5,0.262,0.272,0.262,18.7,95.5,95.7,2398,6.13,-1.71,6.5,0.8193466271
