"last_name, first_name","player_id","year","woba","xwoba","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break"
"Foltynewicz, Mike","592314","2021",".355",".349","29.3","93.8","2155","-10.5","-15.8","18.7","23.7","83.2","2426","5.3","-37.3","6.6","12.7","85.3","1779","-14","-25.8","18.6","12.6","76.7","2316","10.3","-45.5","11.2","21.8","93.1","2098","-16.2","-20.6","19.7",,,,,,,,,,,,,,,,,,
"Gausman, Kevin","592332","2021",".265",".290","52.7","94.6","2283","-10.4","-14.2","19.5","6.2","82","2197","1.9","-39.2","3.5","5.6","83.8","1641","-11.2","-27.2","16.5",,,,,,,,,,,,,,,,,,,"35.5","83.6","1527","-12.4","-37","13",,,,,,
"Gray, Jon","592351","2021",".320",".305","47.6","94.9","2152","-12.9","-19.2","17.1","38.1","86.7","2408","2.6","-32.7","5","8","87.6","1454","-11.7","-28","14.4","6.3","76","2585","11.3","-56.6","14.7",,,,,,,,,,,,,,,,,,,,,,,,
"Ray, Robbie","592662","2021",".287",".293","59.2","94.8","2272","8.2","-13.5","19.1","30.8","88.6","2186","-1","-27.6","7.6","3.6","88.2","1726","10.2","-21.8","17.1","6.1","82.5","2125","-1.3","-40.2","2.5","0.3","95.1","2293","13","-15.8","19.6",,,,,,,,,,,,,,,,,,
"Smyly, Drew","592767","2021",".342",".342",,,,,,,,,,,,,,,,,,,"42","78.9","2096","2.9","-44.2","3.7","46.5","92.1","2088","6.8","-14.1","19.5","11.5","87.6","1956","3.5","-24.4","11.9",,,,,,,,,,,,
"Taillon, Jameson","592791","2021",".309",".304","49.5","93.9","2418","-3.4","-13.2","18.3","16.3","86.6","2522","5.8","-30.8","8.6","6","88","1868","-14.1","-24.1","18.4","19","80.7","2732","10.2","-55","16.4","5.5","94.2","2302","-13.3","-16.3","19.9","3.7","88.4","2508","3.6","-26.2","9.7",,,,,,,,,,,,
"Walker, Taijuan","592836","2021",".301",".328","35.5","94.5","2094","-9.4","-13.5","19.8","21.1","86.1","2415","4.6","-31.1","8",,,,,,,"7.3","76.4","2356","7.8","-59.7","14.8","21.7","93.7","2007","-15.6","-18.3","20.5","0.1","88.4","2401","1.2","-26.4","9.2","14.3","89.4","1516","-13.5","-27.7","15.4",,,,,,
"Montas, Frankie","593423","2021",".290",".307","29.1","96.4","2398","-7","-12","18.9","12.9","88.1","2478","5.7","-30.8","7.8",,,,,,,,,,,,,"29.2","96.2","2308","-14.9","-15.4","20.6","6.5","90.7","2441","3.9","-26.2","8.5","22.4","87.5","1595","-11.5","-31.7","12.4",,,,,,
"Rodriguez, Eduardo","593958","2021",".330",".288","40","92.5","2177","7.3","-17.1","16.5","8.1","82.1","2140","-3","-44.4","5.4","23","85.4","1884","16.7","-31.2","18.1",,,,,,,"11.2","92.5","2125","14.9","-21.9","18.1","17.7","88.3","2182","-1.9","-26.2","9.1",,,,,,,,,,,,
"Gonzales, Marco","594835","2021",".321",".341","50.3","88.4","2143","10.7","-17.5","20.6",,,,,,,"20.1","79.3","2184","16.6","-33.5","19.6","15.4","75.2","2282","-6.1","-61.5","14.5",,,,,,,"14.3","85.5","2119","2.9","-23.6","14.1",,,,,,,,,,,,
"Pivetta, Nick","601713","2021",".316",".301","51.8","94.8","2294","-5.1","-10.8","20.5","21.6","86","2288","5.5","-35.2","6.6","2.7","87.9","1867","-13.3","-24.4","17.5","23.7","78.6","2742","8","-63.6","20.3","0.1","93.3","2240","-12.4","-13.9","21.6",,,,,,,,,,,,,,,,,,
"Bassitt, Chris","605135","2021",".274",".286","19.3","93.2","2170","-7.7","-16.9","16.6","2.4","82.8","2255","6.2","-37.6","7.1","10.2","85.3","1958","-17.9","-29.9","19.7","6.5","71.7","2328","13.5","-67.4","19.3","35.7","92.7","2115","-16.5","-21.7","19.5","18.1","88.8","2222","0.7","-25","9.9",,,,,,,"7.9","75.2","2355","18.3","-48.5","18.6"
"Davies, Zach","605200","2021",".366",".375",,,,,,,"0.6","80","2300","4.2","-43.3","5.4","32.5","78.5","1691","-14","-36.4","16.3","6.9","74.2","2459","9.6","-59.8","14.1","52.5","88","2018","-14.5","-22.6","19.4","7.5","86.6","2092","-4.8","-23.6","13.8",,,,,,,,,,,,
"Houser, Adrian","605288","2021",".297",".312","13.4","94.1","2177","-8.4","-15.4","17.7","7.3","84","2165","5.8","-35.6","7.3","11.1","87.7","2066","-16","-28.2","17.8","14.4","80","1855","5.4","-55.7","14.2","53.8","93.6","2037","-16","-23.4","17.8",,,,,,,,,,,,,,,,,,
"López, Jorge","605347","2021",".369",".353","21.1","95.3","1977","-9.5","-15.1","18","5.6","85.9","2231","1.6","-31.9","6.4","13.8","88.5","1614","-14.8","-28.6","16.5","23.7","81.9","2378","7.9","-52","13.7","35.9","95.3","1967","-16.1","-19.7","19.3",,,,,,,,,,,,,,,,,,
