Season,Name,Team,Age,IP,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Stf+ FO,NameASCII,PlayerId,MLBAMID
2021,"Lucas Giolito","CHW",26,178.2,0.439,,,,,,0.2148,0.0287,,,0.3176,,,,93.84946236559139,,,,,,85.59230891875981,80.63176700367647,,,81.50340034501062,,,-4.283133745559716,,,,,,0.9186499100090757,3.2772942038143382,,,-6.2289702138070595,,,11.259677119335638,,,,,,3.1243170194760594,-5.429529526654412,,,7.616284542529193,,,0.134267727808652,,,,,,1.1843931760340696,-0.6595033056595746,,,1.155738376334088,,,0.3016,0.7014,0.5047,0.4932,0.7824,0.6974,0.5081,104.6615711252654,100.31058823529412,107.69708141321046,,110.17833594976453,,,,107.05853000674304,,"Lucas Giolito",15474,608337
2021,"Luis Castillo","CIN",28,187.2,0.2848,,,,,0.238,0.1735,,,,0.3037,,,,97.13107831576026,,,,,97.28579432270917,86.37213257058288,,,,88.32143437825182,,,-7.275338599472808,,,,,-10.773718277929946,-0.6080510151625114,,,,-10.30081173582206,,,7.271542903718091,,,,,2.6566136171459993,-0.11757741903781023,,,,0.6787304992358221,,,-0.5792194586681341,,,,,-0.724182774623235,1.6342174974295611,,,,0.5656271959721856,,,0.3013,0.6898,0.4889,0.5619,0.8121,0.7324,0.4829,107.03964620187305,,113.81775804661486,93.83665338645419,110.56593806921676,,,,106.47349206349212,,"Luis Castillo",15689,622491
2021,"Sean Manaea","OAK",29,179.1,,,,,,0.5997,,0.156,,,0.2443,,,,,,,,,92.14325685506435,,82.56709509408603,,,84.52335164835165,,,,,,,,8.850755346775323,,-1.7015698504704302,,,7.814752935053228,,,,,,,,7.0895912755316175,,1.6035269132224463,,,4.016098860855941,,,,,,,,-0.126553914302811,,-0.3963783695813149,,,1.3449999928515364,,,0.2687,0.6965,0.5138,0.5702,0.8158,0.7609,0.5728,96.37664835164834,91.55612903225806,,90.1030218242865,,,,,90.08552903035658,,"Sean Manaea",15873,640455
2021,"Aaron Nola","PHI",28,180.2,0.3773,,0.0155,,,0.1393,,,0.2696,,0.1982,,,,92.9107939339875,,86.71521526834239,,,92.00434971316425,,,78.46566791510612,,85.1528013582343,,,-8.25063332822257,,-0.1447826053785241,,,-10.667729327068237,,,7.712796748205368,,-9.099660773026315,,,8.083264802631579,,4.070434902025306,,,5.009686013926631,,,-6.060786443703184,,1.293039007785972,,,0.2789175475180734,,2.1412229732326837,,,0.5735158686332656,,,0.6852008397696765,,0.045116586651785875,,,0.3039,0.6418,0.4884,0.5415,0.8165,0.7388,0.5459,91.98183361629881,,98.0586083853702,107.62367149758454,,139.22833957553058,80.47391304347825,,109.03120161561762,,"Aaron Nola",16149,605400
2021,"Brandon Woodruff","MIL",28,179.1,0.3367,,,,,0.2676,0.0872,0.1662,,,0.1423,,,,96.52336317389006,,,,,96.2470703125,86.43101881377551,83.76380989025697,,,86.45724609375,,,-4.096236827761628,,,,,-8.269441645196144,1.6422856544961735,2.1570877630654444,,,-8.674625244140625,,,9.740000041292284,,,,,7.705850804105718,-1.357591776945153,-6.73256982317318,,,4.170675048828125,,,1.1235965754498134,,,,,1.6520522188078215,0.30635845904447595,1.5234105281005323,,,1.3874867539852858,,,0.2995,0.6799,0.5068,0.5796,0.806,0.7451,0.5448,113.44825,108.87623126338327,125.91363636363636,111.05186170212762,138.02408163265304,,,,118.35482487491062,,"Brandon Woodruff",16162,605540
2021,"Tyler Mahle","CIN",26,180,0.531,,,0.158,,,0.311,,,,,,,,94.03064230995875,,,86.41584158415841,,,86.70523138832998,,,,,,,-7.494225218215969,,,-8.812356899752475,,,1.0040442852427063,,,,,,,9.88243959929287,,,4.933069210241337,,,4.17481893313003,,,,,,,0.2698006247799749,,,1.5391933615549958,,,-0.30720918036442646,,,,,,,0.2556,0.646,0.4506,0.5721,0.8157,0.7465,0.4994,,,110.37242192103713,,108.94476861167004,,,90.28851485148513,105.6715479876161,,"Tyler Mahle",16358,641816
2021,"Dylan Cease","CHW",25,165.2,0.4677,,,,,,0.3064,,0.1518,,0.0741,,,,96.67028199566161,,,,,,85.89613514072848,,79.88485697383074,,78.09771867865297,,,-3.0462327848201376,,,,,,3.237969202711093,,2.4936303221568763,,-4.542967913901969,,,11.115980036605206,,,,,,-0.33974613417063326,,-10.28191554148107,,8.900365542059076,,,0.004908925465113515,,,,,,1.2157155788826364,,0.2794718398880587,,0.1933336547112356,,,0.281,0.6688,0.4667,0.4804,0.774,0.6819,0.4789,56.17762557077626,,131.11055676066516,,144.0371964679912,108.59042316258352,,,126.03651170682046,,"Dylan Cease",18525,656302
2021,"Sandy Alcantara","MIA",25,205.2,0.2158,,,,,0.2824,0.241,0.0255,,,0.2352,,,,98.06691499812874,,,,,97.61475614988558,90.42466069034853,83.72405310522151,,,91.81799450549451,,,-6.773503286395958,,,,,-10.499153049914188,-1.5324261949145441,1.4908860604974288,,,-9.822678786057692,,,8.118517847118264,,,,,4.594942769415046,2.319664840084618,-1.962151829200455,,,2.3534478826837226,,,-0.4039353941996654,,,,,1.7810122943238207,0.9921001170539665,-3.3915323971570293,,,0.6170143322138996,,,0.3232,0.7032,0.5292,0.5175,0.8381,0.7485,0.5422,132.7443681318681,110.50379746835442,113.98577844311374,110.37311212814645,140.26528150134047,,,,123.61955397543639,,"Sandy Alcantara",18684,645261
2021,"Cole Irvin","OAK",27,178.1,0.4079,,,,,0.1905,0.1491,0.0324,,,0.22,,,,90.76032621115174,,,,,90.46986607142857,82.98,76.85402074353448,,,84.25152277542372,,,5.1555760469035645,,,,,8.503072063050391,-0.789574966430664,-1.7779309502963363,,,7.66332180217161,,,9.77431408535192,,,,,7.50708437805773,1.282100067138672,-3.1378159797054597,,,5.5286099708686445,,,0.448481904400659,,,,,-1.3850155445052688,-0.05888222530484199,-7.57123838210928,,,1.3876228350198874,,,0.2775,0.7015,0.5164,0.7169,0.8604,0.8267,0.5634,75.36847457627118,73.23103448275863,66.7323583180987,68.80195694716242,95.41,,,,73.61307922272049,,"Cole Irvin",19244,608344
2021,"Corbin Burnes","MIL",26,167,0.0154,,0.5227,,,0.091,0.0918,0.1827,,,0.0964,,,,96.40999755859374,,95.22713864306785,,,96.85805084745763,88.01722524947479,81.1964167985232,,,90.7123984375,,,-3.415000152587891,,2.0547935463334257,,,-6.873983092227225,3.888655462184874,6.294261562170359,,,-8.0420400390625,,,8.19375,,6.729852276917404,,,7.318135407011388,0.2587395034918264,-4.171054759609046,,,4.657919921875,,,-5.6813800893723965,,1.929186244981479,,,-0.1586889311418695,2.9764869007743706,2.977083275243954,,,0.2531123161315918,,,0.329,0.6449,0.4854,0.3735,0.8056,0.6577,0.495,80.8952,148.15210970464136,101.14250000000001,94.81228813559322,140.22436974789915,,162.87219764011795,,143.20630804953555,,"Corbin Burnes",19361,669203
2021,"Walker Buehler","LAD",26,207.2,0.4451,,0.1624,,,0.0742,0.1383,,0.132,,0.0479,,,,95.34782608695652,,91.57148742675781,,,95.31922743055556,84.86697247706422,,80.1358173076923,,91.47085834023179,,,-1.9955952019667675,,2.953925848007202,,,-7.857393183259883,7.626490601705848,,5.989615220289964,,-7.672980100113825,,,10.442266571632217,,4.840663909912109,,,7.828760913294604,0.6311238840085651,,-8.466754619891827,,3.3241059764331538,,,1.3186441727795095,,1.3088045256154146,,,1.753757080524905,1.4702736502598732,,0.6777241109655454,,3.36285215487938,,,0.2855,0.6699,0.4879,0.5258,0.8507,0.7607,0.5266,90.26026490066225,,114.74183891660726,89.86068376068377,142.09908256880735,117.69951923076923,120.60957031250001,,116.83638385764223,,"Walker Buehler",19374,621111
2022,"Adam Wainwright","STL",40,191.2,0.0932,,0.2512,,,0.2774,,0.3061,,,0.0606,,,,88.01644103167808,,84.29008497458705,,,88.5891829689298,,72.94734098018769,,,82.18210320723684,,,-1.0916438690603596,,3.100533821076874,,,-7.794223447389241,,8.929468562630344,,,-8.403526547080592,,,8.795616672463613,,3.7071410667487292,,,7.257905773518412,,-8.64259645464025,,,4.848473799856086,,,-0.7829061556250264,,0.30870169893456234,,,-0.1605501927872659,,0.5294379903483316,,,0.01030269422029194,,,0.2589,0.594,0.4341,0.677,0.9116,0.8449,0.5228,93.46263157894738,144.1750782064651,80.59691780821917,82.38699654775604,,,90.54968233799237,,104.12563025210089,,"Adam Wainwright",2233,425794
