Name,Team,IP,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Season,Age,NameASCII,PlayerId,MLBAMID
"Ranger Suárez","PHI",386.1,0.2014,,0.0792,,,0.3757,0.0384,0.0939,,,0.2114,,,,93.40600449109287,,88.59002275330957,,,92.72536380096567,83.49747960707721,76.02508691741839,,,84.39694919193364,,,4.640736514993245,,0.02186966719306899,,,9.73155365645118,-2.2848311111706647,-5.680103105368073,,,8.89063328700062,,,7.105236337507506,,3.8339837534607306,,,4.240446452521459,1.901534535303837,-5.501958788055735,,,3.63077804134785,,,-0.36250511326009127,,-0.16706517144521726,,,1.4326806934030782,0.3822002121630837,0.8911788662018645,,,-0.2328481388787656,,,0.2698,0.6406,0.4538,0.5741,0.8762,0.7857,0.4962,2021,26,"Ranger Suarez",17277,624133
"Michael Kopech","CHW",318,0.6213,,,,,,0.2752,0.0613,,,0.0422,,,,95.50517744793173,,,,,,84.47380838325645,79.05278663970857,,,88.42893845578458,,,-6.12330347601306,,,,,,2.6038295314796294,3.6965513257337106,,,-8.797050573470745,,,10.486520040576638,,,,,,-0.24929819475545514,-4.005231756618645,,,4.7322948090573576,,,0.12820721791164358,,,,,,-0.7212477640670394,0.5818627938584499,,,0.20340361018130118,,,0.2666,0.6209,0.4402,0.5667,0.8333,0.7509,0.4898,2021,26,"Michael Kopech",17282,656629
"Justin Steele","CHC",349.1,0.5758,,,,,0.0703,0.2993,0.0391,,,0.0155,,,,92.1054176351584,,,,,92.36115312695802,82.79587629518183,78.96396396396396,,,87.5443187193437,,,0.03988153313437404,,,,,6.468190472825129,-7.313009578853109,-6.352873793593398,,,6.766624851660295,,,7.057370599490406,,,,,6.977213082755718,-0.5298780838929301,-4.8778874165302994,,,5.995761405337941,,,0.19201803285392519,,,,,-0.2752993171824549,0.7476048451904274,0.8343223549492724,,,-0.8956422436643731,,,0.285,0.6783,0.4942,0.5284,0.8696,0.7775,0.5319,2021,26,"Justin Steele",17312,657006
"Mitch Keller","PIT",454,0.36,,0.099,,,0.1685,0.2024,0.1219,,,0.0482,,,,94.75370854048296,,89.70687624007937,,,94.12882610282513,84.31610810155239,78.44146040149201,,,90.7942946060844,,,-4.895392783425071,,1.352949758055349,,,-9.2819425616972,6.287587480434008,5.819742278561044,,,-8.900046058323072,,,8.8937529407848,,3.3768914439690807,,,6.045617673410032,-0.11472645644845506,-8.372212828934257,,,3.616662999858027,,,-0.16352696798064492,,-0.08607669511721248,,,1.6414254718541914,0.0755728782669076,-2.035151612889882,,,-2.7361821160530266,,,0.2608,0.6463,0.4644,0.616,0.8742,0.8058,0.5281,2021,26,"Mitch Keller",17594,656605
"Dylan Cease","CHW",526.2,0.4318,,,,,0.0032,0.3752,,0.1477,,0.0421,,,,96.31886932804365,,,,,96.47666829427084,86.59900069563356,,80.40130699329224,,77.15954372415712,,,-2.5077981530304676,,,,,-4.998333231608073,1.765114144103168,,1.8715591043385151,,-4.552847204620905,,,11.105405550691172,,,,,11.227999877929687,0.7534446193747324,,-9.547817570476795,,8.868483526409431,,,-0.0554703375541215,,,,,5.21771630893151,1.4621591123169688,,-0.9389042246484341,,-0.6195861362773953,,,0.2974,0.6676,0.4671,0.4787,0.8016,0.6903,0.4584,2021,26,"Dylan Cease",18525,656302
"Freddy Peralta","MIL",388,0.5215,,,,,0.0043,0.2263,0.1277,,,0.1202,,,,93.66275300546761,,,,,92.64643205915179,81.25202558880393,76.6039482737272,,,87.95476271206421,,,-4.987452291150742,,,,,-8.5625,5.0501688076899605,2.630355189291484,,,-8.92368491147343,,,9.064852243984776,,,,,7.6557143075125555,1.7464440226072242,-2.975358851788717,,,2.5793264987659574,,,1.1121284618079226,,,,,-8.486187803958144,0.717515360649459,1.4501595121037447,,,0.09199026475034493,,,0.2735,0.6543,0.4595,0.4869,0.7874,0.6959,0.4885,2021,26,"Freddy Peralta",18679,642547
"Sandy Alcantara","MIA",619,0.2278,,,,,0.2725,0.2215,0.0165,,,0.2616,,,,97.99433451876513,,,,,97.68530174595142,90.12051598294323,84.86666788736979,,,91.59084708456348,,,-7.26692976316586,,,,,-10.579886766194331,-0.8512684035586171,1.4536373329162597,,,-9.939110030709616,,,8.096479409427966,,,,,4.644449408527328,2.4263296545264255,-1.7042279879252116,,,2.5176001604676297,,,-0.22498479875178948,,,,,1.5737374648753448,0.735421845897201,-1.9146846234798434,,,1.0993583980226558,,,0.3403,0.6967,0.5322,0.5667,0.8429,0.7614,0.5384,2021,26,"Sandy Alcantara",18684,645261
"Zac Gallen","ARI",515.1,0.4998,,0.1138,,,0.0025,0.0382,,0.1983,,0.1474,,,,93.69719671338811,,90.00732318205945,,,92.97618974958148,86.65759509122825,,81.70657686890986,,86.41336129610656,,,-2.689912968410162,,1.4607494864494177,,,-6.860423905508859,2.886449379257009,,2.3675030465538405,,-7.859491867315573,,,10.18934267762204,,4.921093335323779,,,10.899571600414458,0.6504366910910304,,-6.216272835028738,,2.6131475229732324,,,1.3332619135969788,,-0.5918921186982193,,,-12.02665806881019,-2.142887982197955,,0.7336492288344961,,0.717148696240343,,,0.3065,0.6244,0.4625,0.5797,0.8766,0.7764,0.4908,2021,26,"Zac Gallen",19291,668678
"Dean Kremer","BAL",351.2,0.389,,0.2574,,,0.1,0.0164,0.1122,,,0.125,,,,93.82501094829833,,88.23521330249088,,,91.83532298221523,82.84166463216145,76.91095769641244,,,84.4367479001238,,,-6.088029694902421,,1.642785145686223,,,-9.912559769666236,6.179426829020183,5.160076013620222,,,-9.386147816975912,,,9.887380542227865,,5.072897923719978,,,6.2356997024484055,-0.5872291723887125,-7.659299957879239,,,2.2763661582613253,,,0.28676767574035583,,0.6052501766450841,,,0.918238959672508,-1.4304632553830743,-2.1855062727151577,,,-2.0009691460577193,,,0.2767,0.6734,0.4805,0.6193,0.8653,0.7964,0.5138,2021,26,"Dean Kremer",19350,665152
"Joe Ryan","MIN",335.1,0.5893,,,0.1332,,,0.1799,0.0368,,,0.0607,,,,92.07797699021806,,,83.93269600718195,,,81.18530891828141,74.54356580677599,,,84.4495508692286,,,-6.802536185371076,,,-7.627551620212039,,,3.1933130498111186,5.511930786737121,,,-10.766726840365756,,,8.233884906385324,,,1.3387660745393724,,,1.148073952007197,-4.8710891421478575,,,5.2735737293690175,,,1.3637607763361494,,,-0.3025147977263428,,,-1.6485696169712867,-0.2018333477253961,,,-1.4216678703690433,,,0.3221,0.7059,0.5293,0.6224,0.8135,0.76,0.5399,2021,26,"Joe Ryan",21390,657746
