Season,Name,Team,IP,RS,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS/9,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Stf+ FA,Stuff+,Location+,Pitching+,K/9,BB/9,HR/9,vFA (sc),K/BB,FIP,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
2023,"Logan Gilbert","SEA",190.2,110,0.2723735408560311,1.022935779,0.180297397,0.414498141,0.40520446,0.087155963,0.133027522,5.192298412083082,0.4273,0.3352,0.2376,0.1252,0.5414,0.3333,87.77720588235296,105.68933747412007,101.54679089026914,102.15238095238092,8.92131272621548,1.6992976621362816,1.368878672276449,95.68300653594771,5.25,3.8476961660592943,3.7607956347012585,3.7756839572209544,"Logan Gilbert",22250,669302
2015,"Gio González","WSN",175.2,104,0.3405511811023622,2.022222222,0.195266272,0.538461538,0.266272189,0.044444444,0.059259259,5.328262908367617,0.3721,0.3721,0.2558,0.188,0.5252,0.2868,,,,,8.658427226097377,3.5350975065131305,0.40986637756673977,92.14282626793033,2.4493,3.0482111202233195,3.590232737869579,3.773589537438043,"Gio Gonzalez",7448,461829
2018,"Mike Foltynewicz","ATL",183,106,0.25055432372505543,1.123595505,0.185344827,0.431034482,0.383620689,0.123595505,0.095505617,5.213114754098361,0.409,0.3319,0.2591,0.1842,0.4647,0.3512,,,,,9.934426229508198,3.3442622950819674,0.8360655737704918,96.29450369155045,2.9706,3.3735448993620327,3.772379671810755,3.7704140056257365,"Mike Foltynewicz",10811,592314
2019,"Hyun Jin Ryu","LAD",182.2,113,0.27766990291262134,1.984732824,0.242248062,0.503875968,0.253875968,0.091603053,0.129770992,5.56750786153343,0.3985,0.359,0.2425,0.203,0.4549,0.3421,,,,,8.031006915309284,1.18247954581241,0.8375896782837904,90.71056698848238,6.7917,3.0990466633689597,3.3157593047635303,3.7703346232773693,"Hyun Jin Ryu",14444,547943
2016,"Dallas Keuchel","HOU",168,76,0.30390143737166325,2.327868852,0.189620758,0.566866267,0.243512974,0.106557377,0.163934426,4.071428571428571,0.4221,0.3905,0.1874,0.211,0.4911,0.2978,,,,,7.714285714285714,2.5714285714285716,1.0714285714285714,88.21928826279527,3,3.872760395776658,3.534683481603861,3.769886712888334,"Dallas Keuchel",9434,572971
2018,"Rick Porcello","BOS",191.1,142,0.2846299810246679,1.234693877,0.202185792,0.440801457,0.35701275,0.091836734,0.137755102,6.679454405341202,0.426,0.3773,0.1968,0.1877,0.4783,0.3339,,,,,8.93729814799175,2.257843742650547,1.270037105240933,91.29759093649518,3.9583,4.012348038902652,3.869747237358231,3.767056852543667,"Rick Porcello",2717,519144
2019,"Clayton Kershaw","LAD",178.1,142,0.2623318385650224,1.456953642,0.189956331,0.480349344,0.329694323,0.165562913,0.185430463,7.1663688344998056,0.4915,0.3093,0.1992,0.2034,0.3771,0.4195,,,,,9.538335983946924,2.069162832496423,1.4130868124365814,90.2961061730849,4.6098,3.85887099790313,3.5020688764722174,3.7650383855951555,"Clayton Kershaw",2036,477132
2018,"Jameson Taillon","PIT",191,98,0.29775280898876405,1.467836257,0.222836095,0.462246777,0.314917127,0.093567251,0.116959064,4.617801047120419,0.3863,0.3791,0.2347,0.1895,0.509,0.3014,,,,,8.434554973821989,2.167539267015707,0.9424083769633508,95.17378139952153,3.8913,3.464095066729641,3.5815059889673564,3.764966561488969,"Jameson Taillon",11674,592791
2021,"Max Fried","ATL",165.2,117,0.27802690582959644,1.870967741,0.205357142,0.517857142,0.276785714,0.072580645,0.120967741,6.356123746252816,0.3753,0.3818,0.243,0.1996,0.5401,0.2603,87.41706827309238,98.31025841816754,102.36527016444796,103.38054032889582,8.583483349640556,2.2273596033877388,0.8148876597760021,93.95291321536145,3.8537,3.3088630201760574,3.4524078323640452,3.763119921101693,"Max Fried",13743,608331
2016,"Iván Nova","- - -",162,83,0.3058350100603622,1.935714285,0.187747035,0.535573122,0.276679841,0.085714285,0.164285714,4.611111111111111,0.4385,0.3346,0.2269,0.1846,0.4712,0.3442,,,,,7.055555555555555,1.5555555555555556,1.2777777777777777,92.7242977518431,4.5357,4.109532882549145,3.703260416381153,3.75974432452929,"Ivan Nova",1994,467100
2023,"Kyle Bradish","BAL",168.2,97,0.2700228832951945,1.613138686,0.202672605,0.492204899,0.305122494,0.05839416,0.102189781,5.175878870549128,0.3356,0.4067,0.2578,0.1156,0.6156,0.2689,101.52731871838111,125.82812736921915,102.52308567096287,104.98514025777105,8.96440876548715,2.3478213433418724,0.7470340637905958,94.4703177698145,3.8182,3.266897566212144,3.5307864571035563,3.75743390843397,"Kyle Bradish",24586,680694
2023,"Aaron Nola","PHI",193.2,131,0.28460038986354774,1.126829268,0.195571955,0.426199261,0.378228782,0.121951219,0.15609756,6.087768978032976,0.4771,0.3083,0.2147,0.156,0.5211,0.3229,95.45859030837003,101.23109815354712,107.18156786524133,105.78973113054742,9.387246821089017,2.0912183512327016,1.4870886053210324,92.71938670154185,4.4889,4.029565197931284,3.6316520314771035,3.751153997400321,"Aaron Nola",16149,605400
2022,"Chris Bassitt","NYM",181.2,108,0.28169014084507044,1.436781609,0.171875,0.48828125,0.33984375,0.091954022,0.109195402,5.350448678951117,0.3786,0.3282,0.2932,0.2214,0.5262,0.2524,79.82559366754617,97.53016313779939,102.36671294689344,101.93641096841368,8.273378975785523,2.4275183821167103,0.9412826379636224,93.2335092348285,3.4082,3.6573829157597784,3.715650258432054,3.745442351470406,"Chris Bassitt",12304,605135
2018,"Andrew Heaney","LAA",180,74,0.294478527607362,1.174157303,0.23668639,0.412228796,0.351084812,0.129213483,0.151685393,3.7,0.3895,0.3256,0.2849,0.2112,0.405,0.3837,,,,,9,2.25,1.35,,4,3.9937634785970055,3.677023275030984,3.7371358605278466,"Andrew Heaney",15423,571760
